title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Karnut,Zesloth,,2021,2021‑03‑29,127,95,59,-5,9,60,385,9,4,5
Futurewave,Kizunaut,,2019,2021‑04‑01,180,54,52,-14,33,4,368,37,5,4
Golden Age,Volant,gaming edm,2019,2021‑03‑10,196,95,59,-2,11,75,225,1,13,4
Running the Program,Baddon,synthwave brasileiro,2019,2021‑04‑05,123,38,32,-12,13,35,281,10,4,4
Silent Harbinger,Hxrbinger,,2020,2020‑12‑28,164,61,43,-16,9,10,202,0,3,4
Modified,MAGNAVOLT,synthwave,2021,2021‑04‑05,106,38,78,-8,9,15,263,1,4,4
Steps of my journey - remix,Footboxg,,2021,2021‑04‑09,107,53,63,-12,21,10,200,0,3,4
The Source,Future Fate,spacewave,2020,2021‑03‑18,104,78,50,-6,7,6,320,28,7,3
System Of Control,Future Fate,spacewave,2020,2021‑04‑01,108,89,74,-6,65,7,294,2,7,3
Wipe Out,Edictum,synthwave,2021,2021‑04‑05,88,71,50,-9,8,4,254,1,4,3
Singularity,Kamara,,2020,2021‑02‑27,100,74,59,-8,8,27,178,0,11,2
Streets of Rage - Cyberpunk 2077 edit,Mark Holiday,dark clubbing,2020,2021‑01‑10,100,70,73,-6,10,10,264,0,5,2
Moira,Spirit Milk,,2021,2021‑02‑11,110,90,39,-5,34,15,229,0,8,2
No Brains - Instrumental,La Vie Sauvage,,2021,2021‑03‑01,101,66,23,-14,39,13,197,0,4,2
Concentrated,ArkSyn,,2018,2021‑04‑15,110,88,72,-7,12,34,209,3,5,1
Continuum,Davnak,,2019,2021‑03‑31,95,60,51,-14,11,35,204,24,3,1
System Error,Kamara,,2020,2021‑02‑27,90,68,57,-6,19,20,214,7,5,1
Hello World,The Produca,,2020,2021‑01‑10,110,64,55,-9,37,4,214,0,4,1
Altered States,Purple Mints,,2021,2021‑01‑16,100,87,57,-6,14,16,202,0,5,1
Crisp,Papz,,2021,2021‑02‑23,103,73,68,-6,13,36,229,0,4,1
Driven By Fear,La Vie Sauvage,,2021,2021‑04‑05,115,61,49,-15,6,31,273,1,3,1
Darknet Rising,NOISE NETWORK,,2021,2021‑04‑05,98,80,44,-8,29,10,102,0,3,1
Xcuse,Kosmo Kryukov,,2020,2021‑01‑25,100,49,48,-12,15,34,140,1,4,0
Город-тюрьма,Spirit Milk,,2020,2021‑01‑16,95,86,48,-4,69,7,220,4,16,0
A U T O M A T E,Health & Mana,,2020,2021‑04‑05,110,85,64,-5,14,35,183,0,7,0
Murahachibu,Neon Cult,,2021,2021‑04‑05,110,83,56,-5,27,6,297,0,4,0
Fight Club,Lunatic,,2021,2021‑04‑05,130,41,73,-12,23,39,201,2,3,0
Synthetic,Ehrah,,2021,2021‑03‑23,115,58,51,-8,11,4,250,2,4,0
Dilemma,DAWPS,,2021,2021‑04‑05,91,79,53,-9,8,15,206,0,4,0
High Status Prisoner,Tonebox,dark clubbing,2021,2021‑04‑14,140,53,38,-10,11,5,221,3,4,0
Diabolic,Dance With the Dead,dark clubbing,2016,2019‑08‑03,121,95,64,-5,39,33,260,0,18,54
Horror Show,Battlejuice,dark clubbing,2020,2020‑12‑04,120,84,47,-6,35,14,236,0,4,39
Maleficarum,Gost,dark clubbing,2016,2020‑12‑04,138,94,59,-2,34,7,216,0,7,37
The Cult of 2112,Perturbator,cyberpunk,2016,2019‑12‑25,140,100,49,0,36,13,238,0,37,36
Murder Music,Raydar,dark clubbing,2017,2021‑03‑05,117,71,66,-7,23,13,269,4,6,36
Revenge of the Black Saucers,Hollywood Burns,darksynth,2018,2019‑08‑03,145,92,38,-4,12,19,344,0,5,35
Neo Anima,DEADLIFE,dark clubbing,2021,2021‑04‑09,125,92,57,-5,11,15,317,0,9,34
Devil Doctor,STRNGR,dark clubbing,2020,2020‑12‑18,95,84,52,-8,12,12,220,0,4,33
Carnage,Masked,dark clubbing,2020,2020‑12‑04,130,93,46,-5,8,6,333,0,4,31
Upgraded Resistance,We Are Magonia,cyberpunk,2020,2020‑12‑03,125,67,37,-8,7,17,270,0,8,31
The Eyes of Darkness,Midnight Danger,synthwave,2020,2020‑09‑26,126,92,45,-7,10,29,255,0,4,29
Slaughterhouse,We Are Magonia,cyberpunk,2019,2020‑12‑04,148,88,42,-8,9,18,251,0,15,27
The Prowler,Gost,dark clubbing,2018,2019‑12‑26,133,98,52,-2,23,44,248,0,13,26
Better the Devil You Know,Street Cleaner,cyberpunk,2019,2021‑03‑19,100,58,56,-10,13,4,250,0,4,26
Blood And Boobies,Nightstop,cyberpunk,2020,2020‑12‑03,150,75,47,-8,32,46,206,0,12,25
Bleed Out,Donbor,dark clubbing,2020,2020‑12‑03,140,98,50,-3,12,32,250,0,4,25
The Tower,Occams Laser,dark clubbing,2021,2021‑01‑30,155,98,44,-4,8,36,240,0,37,25
Fear,UltraKiller,,2021,2021‑03‑19,137,87,56,-7,11,23,262,0,18,25
Corrupted,Battlejuice,dark clubbing,2019,2020‑01‑22,122,92,46,-6,39,61,235,0,4,24
Chainsaw Revenge,Absolute Valentine,dark clubbing,2020,2021‑03‑15,120,88,50,-5,35,27,168,1,6,24
Robotica Satanica,Vulta,darksynth,2017,2019‑08‑03,150,97,47,-2,9,8,252,0,11,23
Satanic Worship,We Are Magonia,cyberpunk,2018,2020‑12‑21,135,77,56,-5,9,35,281,2,7,23
The Kill Switch,Gregorio Franco,cyberpunk,2018,2020‑12‑20,130,91,39,-7,22,15,232,0,7,23
Electric Death Machine,Neoslave,cyberpunk,2019,2019‑08‑03,135,92,58,-4,69,10,200,1,5,23
